Name,Image,Party,Ward,Date,Expected,Present,Present Percent,Apologies,Apologies Percent,Absent,Absent Percent
Councillor Gill Al-Samarai,https://committees.aberdeencity.gov.uk/UserData/0/5/5/Info00000550/bigpic.jpg,Party: Scottish National Party,Ward: Dyce/ Bucksburn/ Danestone,24/09/2023 - 18/03/2024,16,15,94%,1,100%,1,6%
Councillor Nurul Hoque Ali,https://committees.aberdeencity.gov.uk/UserData/5/3/6/Info00005635/bigpic.jpg,Party: Scottish Labour,Ward: Bridge of Don,24/09/2023 - 18/03/2024,10,9,90%,1,100%,1,10%
Councillor Christian Allard,https://committees.aberdeencity.gov.uk/UserData/7/3/8/Info00004837/bigpic.jpg,Party: Scottish National Party,Ward: Torry/ Ferryhill,24/09/2023 - 18/03/2024,16,15,94%,1,100%,1,6%
Councillor Alison Alphonse,https://committees.aberdeencity.gov.uk/UserData/8/3/8/Info00004838/bigpic.jpg,Party: Scottish National Party,Ward: Bridge of Don,24/09/2023 - 18/03/2024,13,10,77%,3,100%,3,23%
Councillor Kate Blake,https://committees.aberdeencity.gov.uk/UserData/4/3/6/Info00005634/bigpic.jpg,Party: Scottish Labour,Ward: Kingswells / Sheddocksley / Summerhill,24/09/2023 - 18/03/2024,13,11,85%,2,100%,2,15%
Councillor Jennifer Bonsell,https://committees.aberdeencity.gov.uk/UserData/9/3/6/Info00005639/bigpic.jpg,Party: Scottish Labour,Ward: Midstocket/ Rosemount,24/09/2023 - 18/03/2024,12,12,100%,0,0%,0,0%
Councillor Marie Boulton,https://committees.aberdeencity.gov.uk/UserData/9/1/1/Info00000119/bigpic.jpg,Party: Independent,Ward: Lower Deeside,24/09/2023 - 18/03/2024,17,15,88%,2,100%,2,12%
Councillor Desmond Bouse,https://committees.aberdeencity.gov.uk/UserData/2/4/6/Info00005642/bigpic.jpg,Party: Scottish Liberal Democrats,Ward: George Street/ Harbour,24/09/2023 - 18/03/2024,19,15,79%,4,100%,4,21%
Councillor Richard Brooks,https://committees.aberdeencity.gov.uk/UserData/9/4/6/Info00005649/bigpic.jpg,Party: Scottish Conservative and Unionist,Ward: Kincorth / Nigg / Cove,24/09/2023 - 18/03/2024,11,11,100%,0,0%,0,0%
"Councillor David Cameron, the Lord Provost",https://committees.aberdeencity.gov.uk/UserData/1/5/5/Info00000551/bigpic.jpg,Party: Scottish National Party,Ward: Kingswells / Sheddocksley / Summerhill,24/09/2023 - 18/03/2024,7,7,100%,0,0%,0,0%
Councillor Hazel Cameron,https://committees.aberdeencity.gov.uk/UserData/8/3/6/Info00005638/bigpic.png,Party: Scottish National Party,Ward: Hilton / Woodside / Stockethill,24/09/2023 - 18/03/2024,8,8,100%,0,0%,0,0%
Councillor Donna Clark,https://committees.aberdeencity.gov.uk/UserData/6/3/6/Info00005636/bigpic.jpg,Party: Scottish National Party,Ward: Northfield / Mastrick North,24/09/2023 - 18/03/2024,18,17,94%,1,100%,1,6%
Councillor John Cooke,https://committees.aberdeencity.gov.uk/UserData/0/4/8/Info00004840/bigpic.jpg,Party: Scottish National Party,Ward: Hazlehead/Queen's Cross/Countesswells,24/09/2023 - 18/03/2024,16,16,100%,0,0%,0,0%
Councillor Neil Copland,https://committees.aberdeencity.gov.uk/UserData/9/5/0/Info00002059/bigpic.jpg,Party: Scottish National Party,Ward: Hilton / Woodside / Stockethill,24/09/2023 - 18/03/2024,24,22,92%,2,100%,2,8%
Councillor Bill Cormie,https://committees.aberdeencity.gov.uk/UserData/9/2/1/Info00000129/bigpic.jpg,Party: Scottish National Party,Ward: Midstocket/ Rosemount,24/09/2023 - 18/03/2024,5,5,100%,0,0%,0,0%
Councillor Barney Crockett,https://committees.aberdeencity.gov.uk/UserData/3/3/1/Info00000133/bigpic.jpg,Party: Independent,Ward: Dyce/ Bucksburn/ Danestone,24/09/2023 - 18/03/2024,12,8,67%,4,33%,0,0%
Councillor Sarah Cross,https://committees.aberdeencity.gov.uk/UserData/5/0/4/Info00005405/bigpic.jpg,Party: Scottish Conservative and Unionist,Ward: Bridge of Don,24/09/2023 - 18/03/2024,8,6,75%,2,25%,0,0%
Councillor Derek Davidson,https://committees.aberdeencity.gov.uk/UserData/5/4/6/Info00005645/bigpic.jpg,Party: Scottish National Party,Ward: Airyhall/ Broomhill/ Garthdee,24/09/2023 - 18/03/2024,12,12,100%,0,0%,0,0%
"Councillor Steve Delaney, the Depute Provost",https://committees.aberdeencity.gov.uk/UserData/2/5/5/Info00000552/bigpic.jpg,Party: Scottish Liberal Democrats,Ward: Kingswells / Sheddocksley / Summerhill,24/09/2023 - 18/03/2024,16,16,100%,0,0%,0,0%
Councillor Lee Fairfull,https://committees.aberdeencity.gov.uk/UserData/6/4/6/Info00005646/bigpic.jpg,Party: Scottish National Party,Ward: Torry/ Ferryhill,24/09/2023 - 18/03/2024,18,14,78%,4,100%,4,22%
Councillor Emma Farquhar,https://committees.aberdeencity.gov.uk/UserData/0/4/6/Info00005640/bigpic.jpg,Party: Scottish Conservative and Unionist,Ward: Midstocket/ Rosemount,24/09/2023 - 18/03/2024,18,18,100%,0,0%,0,0%
Councillor Gordon Graham,https://committees.aberdeencity.gov.uk/UserData/3/1/1/Info00000113/bigpic.jpg,Party: Scottish Labour,Ward: Northfield / Mastrick North,24/09/2023 - 18/03/2024,12,7,58%,5,100%,5,42%
Councillor Ross Grant,https://committees.aberdeencity.gov.uk/UserData/3/6/5/Info00000563/bigpic.jpg,Party: Scottish Labour,Ward: Tillydrone/ Seaton/ Old Aberdeen,24/09/2023 - 18/03/2024,9,8,89%,1,11%,0,0%
Councillor Martin Greig,https://committees.aberdeencity.gov.uk/UserData/7/1/1/Info00000117/bigpic.jpg,Party: Scottish Liberal Democrats,Ward: Hazlehead/Queen's Cross/Countesswells,24/09/2023 - 18/03/2024,23,22,96%,1,100%,1,4%
Councillor Dell Henrickson,https://committees.aberdeencity.gov.uk/UserData/2/4/8/Info00004842/bigpic.jpg,Party: Scottish National Party,Ward: George Street/ Harbour,24/09/2023 - 18/03/2024,17,17,100%,0,0%,0,0%
Councillor Ryan Houghton,https://committees.aberdeencity.gov.uk/UserData/3/4/8/Info00004843/bigpic.jpg,Party: Scottish Conservative and Unionist,Ward: Airyhall/ Broomhill/ Garthdee,24/09/2023 - 18/03/2024,11,7,64%,2,50%,4,36%
Councillor Michael Hutchison,https://committees.aberdeencity.gov.uk/UserData/1/9/0/Info00002091/bigpic.jpg,Party: Scottish National Party,Ward: George Street/ Harbour,24/09/2023 - 18/03/2024,13,13,100%,0,0%,0,0%
Councillor Michael Kusznir,https://committees.aberdeencity.gov.uk/UserData/7/4/6/Info00005647/bigpic.jpg,Party: Scottish Conservative and Unionist,Ward: Torry/ Ferryhill,24/09/2023 - 18/03/2024,8,7,88%,1,12%,0,0%
Councillor Graeme Lawrence,https://committees.aberdeencity.gov.uk/UserData/0/7/7/Info00005770/bigpic.jpg,Party: Scottish Labour,Ward: Dyce/ Bucksburn/ Danestone,24/09/2023 - 18/03/2024,19,17,89%,2,100%,2,11%
Councillor Sandra Macdonald,https://committees.aberdeencity.gov.uk/UserData/8/4/8/Info00004848/bigpic.jpg,Party: Scottish Labour,Ward: George Street/ Harbour,24/09/2023 - 18/03/2024,16,16,100%,0,0%,0,0%
Councillor Neil MacGregor,https://committees.aberdeencity.gov.uk/UserData/9/7/4/Info00000479/bigpic.jpg,Party: Scottish National Party,Ward: Dyce/ Bucksburn/ Danestone,24/09/2023 - 18/03/2024,13,12,92%,1,100%,1,8%
Councillor M. Tauqeer Malik,https://committees.aberdeencity.gov.uk/UserData/4/5/5/Info00000554/bigpic.jpg,Party: Scottish Labour,Ward: Lower Deeside,24/09/2023 - 18/03/2024,14,13,93%,1,100%,1,7%
Councillor Duncan Massey,https://committees.aberdeencity.gov.uk/UserData/3/4/6/Info00005643/bigpic.jpg,Party: Scottish Conservative and Unionist,Ward: Lower Deeside,24/09/2023 - 18/03/2024,13,13,100%,0,0%,0,0%
Councillor Alexander McLellan,https://committees.aberdeencity.gov.uk/UserData/3/5/8/Info00004853/bigpic.jpg,Party: Scottish National Party,Ward: Tillydrone/ Seaton/ Old Aberdeen,24/09/2023 - 18/03/2024,15,14,93%,1,100%,1,7%
Councillor Ken McLeod,https://committees.aberdeencity.gov.uk/UserData/4/4/6/Info00005644/bigpic.jpg,Party: Scottish Conservative and Unionist,Ward: Hazlehead/Queen's Cross/Countesswells,24/09/2023 - 18/03/2024,12,12,100%,0,0%,0,0%
Councillor Ciarán McRae,https://committees.aberdeencity.gov.uk/UserData/4/5/8/Info00004854/bigpic.jpg,Party: Scottish National Party,Ward: Northfield / Mastrick North,24/09/2023 - 18/03/2024,21,19,90%,2,100%,2,10%
Councillor Jessica Mennie,https://committees.aberdeencity.gov.uk/UserData/6/0/4/Info00005406/bigpic.jpg,Party: Scottish National Party,Ward: Bridge of Don,24/09/2023 - 18/03/2024,11,11,100%,0,0%,0,0%
Councillor Alex Nicoll,https://committees.aberdeencity.gov.uk/UserData/9/8/0/Info00002089/bigpic.jpg,Party: Scottish National Party,Ward: Kincorth / Nigg / Cove,24/09/2023 - 18/03/2024,5,5,100%,0,0%,0,0%
Councillor Miranda Radley,https://committees.aberdeencity.gov.uk/UserData/4/5/5/Info00005554/bigpic.jpg,Party: Scottish National Party,Ward: Kincorth / Nigg / Cove,24/09/2023 - 18/03/2024,26,24,92%,2,100%,2,8%
Councillor Mrs Jennifer Stewart,https://committees.aberdeencity.gov.uk/UserData/7/2/1/Info00000127/bigpic.jpg,Party: Independent,Ward: Hazlehead/Queen's Cross/Countesswells,24/09/2023 - 18/03/2024,10,6,60%,1,25%,4,40%
Councillor Kairin van Sweeden,https://committees.aberdeencity.gov.uk/UserData/1/4/6/Info00005641/bigpic.jpg,Party: Independent,Ward: Tillydrone/ Seaton/ Old Aberdeen,24/09/2023 - 18/03/2024,8,8,100%,0,0%,0,0%
Councillor Lynn Thomson,https://committees.aberdeencity.gov.uk/UserData/0/5/6/Info00005650/bigpic.jpg,Party: Scottish Labour,Ward: Kincorth / Nigg / Cove,24/09/2023 - 18/03/2024,14,13,93%,1,100%,1,7%
Councillor Deena Tissera,https://committees.aberdeencity.gov.uk/UserData/7/3/6/Info00005637/bigpic.jpg,Party: Scottish Labour,Ward: Hilton / Woodside / Stockethill,24/09/2023 - 18/03/2024,14,9,64%,3,60%,5,36%
Councillor Simon Watson,https://committees.aberdeencity.gov.uk/UserData/8/4/6/Info00005648/bigpic.jpg,Party: Scottish Labour,Ward: Torry/ Ferryhill,24/09/2023 - 18/03/2024,9,9,100%,0,0%,0,0%
Councillor Ian Yuill,https://committees.aberdeencity.gov.uk/UserData/2/5/1/Info00000152/bigpic.jpg,Party: Scottish Liberal Democrats,Ward: Airyhall/ Broomhill/ Garthdee,24/09/2023 - 18/03/2024,12,11,92%,1,100%,1,8%
